"uuid","nickname","country","points","overall","CRYSTAL_tier","CRYSTAL_peak","CRYSTAL_worst","CRYSTAL_value","CRYSTAL_retired","CRYSTAL_restricted","SWORD_tier","SWORD_peak","SWORD_worst","SWORD_value","SWORD_retired","SWORD_restricted","SMP_tier","SMP_peak","SMP_worst","SMP_value","SMP_retired","SMP_restricted","MACE_tier","MACE_peak","MACE_worst","MACE_value","MACE_retired","MACE_restricted","NETHERITE_POT_tier","NETHERITE_POT_peak","NETHERITE_POT_worst","NETHERITE_POT_value","NETHERITE_POT_retired","NETHERITE_POT_restricted","AXE_tier","AXE_peak","AXE_worst","AXE_value","AXE_retired","AXE_restricted"
"aaea4916-b2f2-4bad-9823-07b9572eadca","Jmszxis_","BR","0","2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ca4d325-eeab-42bd-9f77-6ba5dbd0136e","_S3m_nome_","BR","0","2397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88b77fce-2ccf-4720-9bf8-d8bb59172587","Spakoatako","BR","0","2398","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1da76184-0fa4-4cd7-93e2-5abfb6386fa8","MerwenSmith","BR","0","2399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81a4d6c7-b622-4c1a-a091-1d31757ef8d7","d3mon_77","BR","0","2400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71bcf7ca-0553-42f6-a174-bbd0ac25939e","bl0odd","BR","0","2401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"505fab92-3152-47e8-82f1-cbe87bd936df","TvBr303","BR","0","2402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"de282609-dcbb-4590-ac18-d90db450450a","MQQpenit","BR","0","2403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4f70c3bf-f327-4628-a1f2-9c3012dd159b","Sigmaggs","BR","0","2404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253836b6-8e97-4cd8-8391-095bc13a4a68","Twinc0q","BR","0","2405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
